gene_name,gene_id
COL4A1,ENSG00000187498
COL4A2,ENSG00000134871
COL4A3,ENSG00000169031
COL4A4,ENSG00000081052
COL4A5,ENSG00000188153
COL5A1,ENSG00000130635
COL5A2,ENSG00000204262
COL7A1,ENSG00000114270
COLEC12,ENSG00000158270
COLQ,ENSG00000206561
COMP,ENSG00000105664
COMT,ENSG00000093010
COPS5,ENSG00000121022
COQ8A,ENSG00000163050
CORIN,ENSG00000145244
CORO1B,ENSG00000172725
CORO1C,ENSG00000110880
CORT,ENSG00000241563
CP,ENSG00000047457
CPA4,ENSG00000128510
CPA5,ENSG00000158525
CPA6,ENSG00000165078
CPB2,ENSG00000080618
CPEB1,ENSG00000214575
CPEB2,ENSG00000137449
CPEB3,ENSG00000107864
CPLX3,ENSG00000213578
CPNE9,ENSG00000144550
CPS1,ENSG00000021826
CPSF6,ENSG00000111605
CPT1A,ENSG00000110090
CPVL,ENSG00000106066
CPXM2,ENSG00000121898
CPZ,ENSG00000109625
CR1,ENSG00000203710
CR2,ENSG00000117322
CRB2,ENSG00000148204
CREB1,ENSG00000118260
CREB3,ENSG00000107175
CREB5,ENSG00000146592
CREBBP,ENSG00000005339
CREG1,ENSG00000143162
CREG2,ENSG00000175874
CRH,ENSG00000147571
CRHR1,ENSG00000120088
CRHR2,ENSG00000106113
CRIPT,ENSG00000119878
CRK,ENSG00000167193
CRKL,ENSG00000099942
CRNDE,ENSG00000245694
CRNN,ENSG00000143536
CRTAC1,ENSG00000095713
CRTAM,ENSG00000109943
CRY2,ENSG00000121671
CRYAA,ENSG00000160202
CRYAB,ENSG00000109846
CRYBB3,ENSG00000100053
CRYBG1,ENSG00000112297
CRYBG3,ENSG00000080200
CRYGC,ENSG00000163254
CRYGS,ENSG00000213139
CRYZ,ENSG00000116791
CRYZL1,ENSG00000205758
CSE1L,ENSG00000124207
CSF1,ENSG00000184371
CSF1R,ENSG00000182578
CSF2,ENSG00000164400
CSF2RA,ENSG00000198223
CSF2RB,ENSG00000100368
CSF3,ENSG00000108342
CSF3R,ENSG00000119535
CSK,ENSG00000103653
CSNK1A1,ENSG00000113712
CSNK1A1L,ENSG00000180138
CSNK1E,ENSG00000213923
CSNK1G1,ENSG00000169118
CSNK2A1,ENSG00000101266
CSNK2A2,ENSG00000070770
CSNK2B,ENSG00000204435
CSPG4,ENSG00000173546
CSPP1,ENSG00000104218
CSRP1,ENSG00000159176
CSRP3,ENSG00000129170
CST1,ENSG00000170373
CST2,ENSG00000170369
CST4,ENSG00000101441
CST5,ENSG00000170367
CST7,ENSG00000077984
CTAG1B,ENSG00000184033
CTBP1,ENSG00000159692
CTBP2,ENSG00000175029
CTCF,ENSG00000102974
CTCFL,ENSG00000124092
CTDSPL,ENSG00000144677
CTH,ENSG00000116761
CTHRC1,ENSG00000164932
CTLA4,ENSG00000163599
CTNNA1,ENSG00000044115
CTNNAL1,ENSG00000119326
CTNNB1,ENSG00000168036
CTNND1,ENSG00000198561
CTNND2,ENSG00000169862
CTRL,ENSG00000141086
CTSA,ENSG00000064601
CTSC,ENSG00000109861
CTSG,ENSG00000100448
CTSH,ENSG00000103811
CTSK,ENSG00000143387
CTSL,ENSG00000135047
CTTN,ENSG00000085733
CTTNBP2NL,ENSG00000143079
CTXN3,ENSG00000205279
CUBN,ENSG00000107611
CUEDC2,ENSG00000107874
CUL1,ENSG00000055130
CUL2,ENSG00000108094
CUL3,ENSG00000036257
CUL4A,ENSG00000139842
CUL4B,ENSG00000158290
CUL5,ENSG00000166266
CUTA,ENSG00000112514
CUX2,ENSG00000111249
CUZD1,ENSG00000138161
CX3CL1,ENSG00000006210
CX3CR1,ENSG00000168329
CXADR,ENSG00000154639
CXCL1,ENSG00000163739
CXCL10,ENSG00000169245
CXCL11,ENSG00000169248
CXCL12,ENSG00000107562
CXCL13,ENSG00000156234
CXCL16,ENSG00000161921
CXCL2,ENSG00000081041
CXCL5,ENSG00000163735
CXCL6,ENSG00000124875
CXCL9,ENSG00000138755
CXCR1,ENSG00000163464
CXCR2,ENSG00000180871
CXCR3,ENSG00000186810
CXCR4,ENSG00000121966
CXCR5,ENSG00000160683
CXCR6,ENSG00000172215
CYBA,ENSG00000051523
CYBB,ENSG00000165168
CYBC1,ENSG00000178927
CYCS,ENSG00000172115
CYFIP2,ENSG00000055163
CYHR1,ENSG00000187954
CYLD,ENSG00000083799
CYP11A1,ENSG00000140459
CYP11B2,ENSG00000179142
CYP17A1,ENSG00000148795
CYP19A1,ENSG00000137869
CYP1A1,ENSG00000140465
CYP1A2,ENSG00000140505
CYP1B1,ENSG00000138061
CYP20A1,ENSG00000119004
CYP24A1,ENSG00000019186
CYP27A1,ENSG00000135929
CYP27B1,ENSG00000111012
CYP2A6,ENSG00000255974
CYP2C19,ENSG00000165841
CYP2C8,ENSG00000138115
CYP2C9,ENSG00000138109
CYP2D6,ENSG00000100197
CYP2J2,ENSG00000134716
CYP3A5,ENSG00000106258
CYP46A1,ENSG00000036530
CYP4F2,ENSG00000186115
CYP7A1,ENSG00000167910
CYP7B1,ENSG00000172817
CYREN,ENSG00000122783
CYSLTR1,ENSG00000173198
CYSLTR2,ENSG00000152207
CYTH2,ENSG00000105443
CYTOR,ENSG00000222041
DAB1,ENSG00000173406
DAB2,ENSG00000153071
DACH1,ENSG00000276644
DACH2,ENSG00000126733
DACT2,ENSG00000164488
DAG1,ENSG00000173402
DAO,ENSG00000110887
DAOA,ENSG00000182346
DAP,ENSG00000112977
DAP3,ENSG00000132676
DAPK1,ENSG00000196730
DAXX,ENSG00000204209
DAZAP1,ENSG00000071626
DAZAP2,ENSG00000183283
DAZL,ENSG00000092345
DBN1,ENSG00000113758
DBR1,ENSG00000138231
DCAF1,ENSG00000145041
DCDC1,ENSG00000170959
DCLK1,ENSG00000133083
DCT,ENSG00000080166
DCTN1,ENSG00000204843
DCX,ENSG00000077279
DDB1,ENSG00000167986
DDB2,ENSG00000134574
DDC,ENSG00000132437
DDI2,ENSG00000197312
DDIT3,ENSG00000175197
DDIT4L,ENSG00000145358
DDR1,ENSG00000204580
DDR2,ENSG00000162733
DDX1,ENSG00000079785
DDX10,ENSG00000178105
DDX19A,ENSG00000168872
DDX20,ENSG00000064703
DDX21,ENSG00000165732
DDX25,ENSG00000109832
DDX27,ENSG00000124228
DDX28,ENSG00000182810
DDX31,ENSG00000125485
DDX39B,ENSG00000198563
DDX3X,ENSG00000215301
DDX3Y,ENSG00000067048
DDX43,ENSG00000080007
DDX50,ENSG00000107625
DDX51,ENSG00000185163
DDX53,ENSG00000184735
DDX55,ENSG00000111364
DDX58,ENSG00000107201
DDX6,ENSG00000110367
DEFA1,ENSG00000206047
DEFA6,ENSG00000164822
DEFB103B,ENSG00000177243
DEFB4A,ENSG00000171711
DEK,ENSG00000124795
DEPDC7,ENSG00000121690
DEPTOR,ENSG00000155792
DERL3,ENSG00000099958
DGAT1,ENSG00000185000
DHCR24,ENSG00000116133
DHCR7,ENSG00000172893
DHDDS,ENSG00000117682
DHFR,ENSG00000228716
DHODH,ENSG00000102967
DHRS1,ENSG00000157379
DHRS2,ENSG00000100867
DHX29,ENSG00000067248
DHX30,ENSG00000132153
DHX34,ENSG00000134815
DHX57,ENSG00000163214
DHX9,ENSG00000135829
DIABLO,ENSG00000184047
DICER1,ENSG00000100697
DIO2,ENSG00000211448
DIP2A,ENSG00000160305
DIP2B,ENSG00000066084
DIRAS3,ENSG00000162595
DIS3,ENSG00000083520
DIS3L2,ENSG00000144535
DISC1,ENSG00000162946
DISP1,ENSG00000154309
DKC1,ENSG00000130826
DKK1,ENSG00000107984
DKK3,ENSG00000050165
DLD,ENSG00000091140
DLEC1,ENSG00000008226
DLEU1,ENSG00000176124
DLEU2,ENSG00000231607
DLG1,ENSG00000075711
DLG4,ENSG00000132535
DLK1,ENSG00000185559
DLK2,ENSG00000171462
DLL1,ENSG00000198719
DLL3,ENSG00000090932
DLL4,ENSG00000128917
DLX4,ENSG00000108813
DMBX1,ENSG00000197587
DMD,ENSG00000198947
DMKN,ENSG00000161249
DMPK,ENSG00000104936
DMRT2,ENSG00000173253
DMWD,ENSG00000185800
DMXL1,ENSG00000172869
DMXL2,ENSG00000104093
DNAH1,ENSG00000114841
DNAH10,ENSG00000197653
DNAH11,ENSG00000105877
DNAH12,ENSG00000174844
DNAH14,ENSG00000185842
DNAH2,ENSG00000183914
DNAH5,ENSG00000039139
DNAH7,ENSG00000118997
DNAH8,ENSG00000124721
DNAH9,ENSG00000007174
DNAI1,ENSG00000122735
DNAJA1,ENSG00000086061
DNAJA3,ENSG00000103423
DNAJB12,ENSG00000148719
DNAJB2,ENSG00000135924
DNAJB4,ENSG00000162616
DNAJB5,ENSG00000137094
DNAJC10,ENSG00000077232
DNAJC17,ENSG00000104129
DNAJC9,ENSG00000213551
DNASE1L3,ENSG00000163687
DNM1,ENSG00000106976
DNM2,ENSG00000079805
DNMT1,ENSG00000130816
DNMT3A,ENSG00000119772
DNMT3B,ENSG00000088305
DNPEP,ENSG00000123992
DNTT,ENSG00000107447
DOC2A,ENSG00000149927
DOCK9,ENSG00000088387
DOK5,ENSG00000101134
DOK7,ENSG00000175920
DOT1L,ENSG00000104885
DPAGT1,ENSG00000172269
DPEP1,ENSG00000015413
DPF2,ENSG00000133884
DPF3,ENSG00000205683
DPM1,ENSG00000000419
DPP4,ENSG00000197635
DPP8,ENSG00000074603
DPPA2,ENSG00000163530
DPT,ENSG00000143196
DPY19L2,ENSG00000177990
DPYD,ENSG00000188641
DPYSL2,ENSG00000092964
DRAM1,ENSG00000136048
DRC1,ENSG00000157856
DRC3,ENSG00000171962
DRD1,ENSG00000184845
DRD2,ENSG00000149295
DRD3,ENSG00000151577
DRD5,ENSG00000169676
DRG1,ENSG00000185721
DSG1,ENSG00000134760
DSG2,ENSG00000046604
DSG3,ENSG00000134757
DST,ENSG00000151914
DTNA,ENSG00000134769
DTNBP1,ENSG00000047579
DTX1,ENSG00000135144
DUOX2,ENSG00000140279
DUOXA1,ENSG00000140254
DUOXA2,ENSG00000140274
DUSP13,ENSG00000079393
DUSP23,ENSG00000158716
DUSP28,ENSG00000188542
DUSP5,ENSG00000138166
DUSP6,ENSG00000139318
DUX4,ENSG00000260596
DVL1,ENSG00000107404
DVL2,ENSG00000004975
DVL3,ENSG00000161202
DYDC1,ENSG00000170788
DYNC1H1,ENSG00000197102
DYRK1A,ENSG00000157540
DYRK1B,ENSG00000105204
DZIP1L,ENSG00000158163
E2F1,ENSG00000101412
E2F3,ENSG00000112242
E2F4,ENSG00000205250
E4F1,ENSG00000167967
EBF1,ENSG00000164330
EBF2,ENSG00000221818
EBI3,ENSG00000105246
EBP,ENSG00000147155
ECD,ENSG00000122882
ECE1,ENSG00000117298
ECEL1,ENSG00000171551
ECHDC1,ENSG00000093144
ECHS1,ENSG00000127884
ECPAS,ENSG00000136813
ECRG4,ENSG00000119147
ECSIT,ENSG00000130159
EDA,ENSG00000158813
EDIL3,ENSG00000164176
EDN1,ENSG00000078401
EDNRA,ENSG00000151617
EDNRB,ENSG00000136160
EDRF1,ENSG00000107938
EED,ENSG00000074266
EEF1A2,ENSG00000101210
EEF1AKNMT,ENSG00000010165
EEF1G,ENSG00000254772
EFHC1,ENSG00000096093
EFHC2,ENSG00000183690
EFNB2,ENSG00000125266
EFR3A,ENSG00000132294
EFR3B,ENSG00000084710
EFS,ENSG00000100842
EFTUD2,ENSG00000108883
EGF,ENSG00000138798
EGFL6,ENSG00000198759
EGFL7,ENSG00000172889
EGFL8,ENSG00000241404
EGFR,ENSG00000146648
EGLN1,ENSG00000135766
EGLN3,ENSG00000129521
EGR2,ENSG00000122877
EGR3,ENSG00000179388
EGR4,ENSG00000135625
EHBP1,ENSG00000115504
EHF,ENSG00000135373
EHMT1,ENSG00000181090
EHMT2,ENSG00000204371
EID1,ENSG00000255302
EIF1AD,ENSG00000175376
EIF1AY,ENSG00000198692
EIF1B,ENSG00000114784
EIF2AK2,ENSG00000055332
EIF2AK3,ENSG00000172071
EIF2AK4,ENSG00000128829
EIF2S1,ENSG00000134001
EIF3A,ENSG00000107581
EIF3C,ENSG00000184110
EIF4A1,ENSG00000161960
EIF4A3,ENSG00000141543
EIF4E,ENSG00000151247
EIF4EBP1,ENSG00000187840
EIF4EBP2,ENSG00000148730
EIF4EBP3,ENSG00000243056
EIF4ENIF1,ENSG00000184708
EIF4G1,ENSG00000114867
EIF5A,ENSG00000132507
EIF5AL1,ENSG00000253626
EIPR1,ENSG00000032389
ELAC1,ENSG00000141642
ELAC2,ENSG00000006744
ELANE,ENSG00000197561
ELAVL1,ENSG00000066044
ELF4,ENSG00000102034
ELFN1,ENSG00000225968
ELK1,ENSG00000126767
ELK3,ENSG00000111145
ELK4,ENSG00000158711
ELMOD1,ENSG00000110675
ELMOD2,ENSG00000179387
ELN,ENSG00000049540
ELOB,ENSG00000103363
ELOC,ENSG00000154582
ELSPBP1,ENSG00000169393
EMC1,ENSG00000127463
EMC4,ENSG00000128463
EMCN,ENSG00000164035
EMD,ENSG00000102119
EMP1,ENSG00000134531
EMP2,ENSG00000213853
EMSY,ENSG00000158636
EMX2,ENSG00000170370
EN1,ENSG00000163064
EN2,ENSG00000164778
ENG,ENSG00000106991
ENKUR,ENSG00000151023
ENO2,ENSG00000111674
ENOSF1,ENSG00000132199
ENOX1,ENSG00000120658
ENOX2,ENSG00000165675
ENPEP,ENSG00000138792
ENPP1,ENSG00000197594
ENPP2,ENSG00000136960
ENPP3,ENSG00000154269
ENTPD1,ENSG00000138185
ENTPD2,ENSG00000054179
EOMES,ENSG00000163508
EP300,ENSG00000100393
EPAS1,ENSG00000116016
EPB41L3,ENSG00000082397
EPCAM,ENSG00000119888
EPDR1,ENSG00000086289
EPG5,ENSG00000152223
EPHA1,ENSG00000146904
EPHA10,ENSG00000183317
EPHA2,ENSG00000142627
EPHA3,ENSG00000044524
EPHA4,ENSG00000116106
EPHA7,ENSG00000135333
EPHA8,ENSG00000070886
EPHB1,ENSG00000154928
EPHB2,ENSG00000133216
EPHB4,ENSG00000196411
EPHB6,ENSG00000106123
EPHX1,ENSG00000143819
EPHX2,ENSG00000120915
EPM2AIP1,ENSG00000178567
EPO,ENSG00000130427
EPOR,ENSG00000187266
EPRS,ENSG00000136628
EPS8L3,ENSG00000198758
ERAP1,ENSG00000164307
ERAS,ENSG00000187682
ERBB2,ENSG00000141736
ERBB3,ENSG00000065361
ERC1,ENSG00000082805
ERCC1,ENSG00000012061
ERCC2,ENSG00000104884
ERCC3,ENSG00000163161
ERCC4,ENSG00000175595
ERCC5,ENSG00000134899
ERCC6,ENSG00000225830
EREG,ENSG00000124882
ERFE,ENSG00000178752
ERG,ENSG00000157554
ERG28,ENSG00000133935
ERGIC2,ENSG00000087502
ERLIN2,ENSG00000147475
ERMAP,ENSG00000164010
ERN1,ENSG00000178607
ERP27,ENSG00000139055
ERRFI1,ENSG00000116285
ERVFRD-1,ENSG00000244476
ESCO2,ENSG00000171320
ESF1,ENSG00000089048
ESM1,ENSG00000164283
ESR1,ENSG00000091831
ESR2,ENSG00000140009
ESRRA,ENSG00000173153
ESRRG,ENSG00000196482
ETS1,ENSG00000134954
ETV1,ENSG00000006468
ETV3,ENSG00000117036
ETV5,ENSG00000244405
ETV6,ENSG00000139083
EVI2B,ENSG00000185862
EVI5,ENSG00000067208
EWSR1,ENSG00000182944
EXO1,ENSG00000174371
EXOSC10,ENSG00000171824
EYA1,ENSG00000104313
EYA4,ENSG00000112319
EZH1,ENSG00000108799
EZH2,ENSG00000106462
EZHIP,ENSG00000187690
F11,ENSG00000088926
F11R,ENSG00000158769
F12,ENSG00000131187
F13A1,ENSG00000124491
F2,ENSG00000180210
F2R,ENSG00000181104
F2RL1,ENSG00000164251
F2RL3,ENSG00000127533
F5,ENSG00000198734
F7,ENSG00000057593
F8,ENSG00000185010
FAAH,ENSG00000117480
FABP2,ENSG00000145384
FABP3,ENSG00000121769
FABP4,ENSG00000170323
FABP7,ENSG00000164434
FADD,ENSG00000168040
FADS1,ENSG00000149485
FADS2,ENSG00000134824
FAF1,ENSG00000185104
FAF2,ENSG00000113194
FAIM,ENSG00000158234
FAIM2,ENSG00000135472
FAM107A,ENSG00000168309
FAM110A,ENSG00000125898
FAM117B,ENSG00000138439
FAM126B,ENSG00000155744
FAM131C,ENSG00000185519
FAM161A,ENSG00000170264
FAM168A,ENSG00000054965
FAM193A,ENSG00000125386
FAM3A,ENSG00000071889
FAM53C,ENSG00000120709
FAM76B,ENSG00000077458
FAM98A,ENSG00000119812
FAM9B,ENSG00000177138
FANCA,ENSG00000187741
FANCC,ENSG00000158169
FANCD2,ENSG00000144554
FANCI,ENSG00000140525
FAP,ENSG00000078098
FAR1,ENSG00000197601
FAS,ENSG00000026103
FASLG,ENSG00000117560
FASN,ENSG00000169710
FAT1,ENSG00000083857
FAT2,ENSG00000086570
FAT3,ENSG00000165323
FAT4,ENSG00000196159
FBL,ENSG00000105202
FBLN2,ENSG00000163520
FBLN5,ENSG00000140092
FBP1,ENSG00000165140
FBXO16,ENSG00000214050
FBXO25,ENSG00000147364
FBXO33,ENSG00000165355
FBXO42,ENSG00000037637
FBXO43,ENSG00000156509
FBXO45,ENSG00000174013
FBXW11,ENSG00000072803
FBXW7,ENSG00000109670
FCAR,ENSG00000186431
FCER1A,ENSG00000179639
FCER2,ENSG00000104921
FCGBP,ENSG00000275395
FCGR1A,ENSG00000150337
FCGR2A,ENSG00000143226
FCGR2B,ENSG00000072694
FCGR3A,ENSG00000203747
FCGR3B,ENSG00000162747
FCMR,ENSG00000162894
FCN1,ENSG00000085265
FCN2,ENSG00000160339
FCRL1,ENSG00000163534
FCRL2,ENSG00000132704
FCRL3,ENSG00000160856
FCRL4,ENSG00000163518
FCRL5,ENSG00000143297
FCRLA,ENSG00000132185
FDFT1,ENSG00000079459
FDPS,ENSG00000160752
FDX1,ENSG00000137714
FECH,ENSG00000066926
FEN1,ENSG00000168496
FENDRR,ENSG00000268388
FER,ENSG00000151422
FERMT3,ENSG00000149781
FES,ENSG00000182511
FETUB,ENSG00000090512
FEV,ENSG00000163497
FEZ1,ENSG00000149557
FEZF1,ENSG00000128610
FEZF2,ENSG00000153266
FFAR1,ENSG00000126266
FGF1,ENSG00000113578
FGF10,ENSG00000070193
FGF13,ENSG00000129682
FGF19,ENSG00000162344
FGF2,ENSG00000138685
FGF21,ENSG00000105550
FGF23,ENSG00000118972
FGF4,ENSG00000075388
FGF7,ENSG00000140285
FGF9,ENSG00000102678
FGFBP2,ENSG00000137441
FGFR1,ENSG00000077782
FGFR2,ENSG00000066468
FGFR3,ENSG00000068078
FGFR4,ENSG00000160867
FGR,ENSG00000000938
FH,ENSG00000091483
FHAD1,ENSG00000142621
FHL1,ENSG00000022267
FHL2,ENSG00000115641
FHL3,ENSG00000183386
FHOD1,ENSG00000135723
FIBCD1,ENSG00000130720
FIBP,ENSG00000172500
FILIP1L,ENSG00000168386
FIP1L1,ENSG00000145216
FKBP11,ENSG00000134285
FKBP15,ENSG00000119321
FKTN,ENSG00000106692
FLCN,ENSG00000154803
FLI1,ENSG00000151702
FLII,ENSG00000177731
FLNB,ENSG00000136068
FLNC,ENSG00000128591
FLOT2,ENSG00000132589
FLRT3,ENSG00000125848
FLT1,ENSG00000102755
FLT3,ENSG00000122025
FLT3LG,ENSG00000090554
FLT4,ENSG00000037280
FLYWCH1,ENSG00000059122
FMC1,ENSG00000164898
FMN1,ENSG00000248905
FMN2,ENSG00000155816
FMO3,ENSG00000007933
FMO5,ENSG00000131781
FMOD,ENSG00000122176
FN3KRP,ENSG00000141560
FNDC3A,ENSG00000102531
FNDC3B,ENSG00000075420
FNDC5,ENSG00000160097
FNTA,ENSG00000168522
FOLH1,ENSG00000086205
FOLR1,ENSG00000110195
FOLR2,ENSG00000165457
FOSL1,ENSG00000175592
FOXA1,ENSG00000129514
FOXA2,ENSG00000125798
FOXB1,ENSG00000171956
FOXC1,ENSG00000054598
FOXC2,ENSG00000176692
FOXD2,ENSG00000186564
FOXE1,ENSG00000178919
FOXE3,ENSG00000186790
FOXF1,ENSG00000103241
FOXG1,ENSG00000176165
FOXI1,ENSG00000168269
FOXJ1,ENSG00000129654
FOXJ2,ENSG00000065970
FOXL2,ENSG00000183770
FOXM1,ENSG00000111206
FOXN1,ENSG00000109101
FOXO1,ENSG00000150907
FOXO3,ENSG00000118689
FOXO4,ENSG00000184481
FOXP1,ENSG00000114861
FOXP2,ENSG00000128573
FOXP3,ENSG00000049768
FOXP4,ENSG00000137166
FOXRED1,ENSG00000110074
FPR1,ENSG00000171051
FPR2,ENSG00000171049
FRA10AC1,ENSG00000148690
FRAS1,ENSG00000138759
FREM1,ENSG00000164946
FREM2,ENSG00000150893
FRMD6,ENSG00000139926
FRMD7,ENSG00000165694
FRZB,ENSG00000162998
FSCN1,ENSG00000075618
FSHR,ENSG00000170820
FSIP1,ENSG00000150667
FST,ENSG00000134363
FSTL1,ENSG00000163430
FSTL3,ENSG00000070404
FTO,ENSG00000140718
FUBP3,ENSG00000107164
FUCA1,ENSG00000179163
FURIN,ENSG00000140564
FUS,ENSG00000089280
FUT2,ENSG00000176920
FUT3,ENSG00000171124
FUT4,ENSG00000196371
FUT7,ENSG00000180549
FUT8,ENSG00000033170
FXR2,ENSG00000129245
FXYD4,ENSG00000150201
FXYD7,ENSG00000221946
FYN,ENSG00000010810
FZD1,ENSG00000157240
FZD10,ENSG00000111432
FZD3,ENSG00000104290
FZD4,ENSG00000174804
FZD6,ENSG00000164930
FZD9,ENSG00000188763
FZR1,ENSG00000105325
G6PD,ENSG00000160211
GAA,ENSG00000171298
GAB1,ENSG00000109458
GAB2,ENSG00000033327
GABBR1,ENSG00000204681
GABBR2,ENSG00000136928
GABRA1,ENSG00000022355
GABRA2,ENSG00000151834
GABRA3,ENSG00000011677
GABRA4,ENSG00000109158
GABRA5,ENSG00000186297
GABRA6,ENSG00000145863
GABRB2,ENSG00000145864
GABRB3,ENSG00000166206
GABRD,ENSG00000187730
GABRG1,ENSG00000163285
GABRG2,ENSG00000113327
GABRG3,ENSG00000182256
GABRP,ENSG00000094755
GABRQ,ENSG00000268089
GABRR3,ENSG00000183185
GAD1,ENSG00000128683
GAD2,ENSG00000136750
GADD45A,ENSG00000116717
GADD45B,ENSG00000099860
GADD45G,ENSG00000130222
GAGE1,ENSG00000205777
GAL,ENSG00000069482
GALE,ENSG00000117308
GALK1,ENSG00000108479
GALNS,ENSG00000141012
GALP,ENSG00000197487
GALR1,ENSG00000166573
GANAB,ENSG00000089597
GANC,ENSG00000214013
GAP43,ENSG00000172020
GART,ENSG00000159131
GAS2L1,ENSG00000185340
GAS6,ENSG00000183087
GATA1,ENSG00000102145
GATA2,ENSG00000179348
GATA3,ENSG00000107485
GATA4,ENSG00000136574
GATA6,ENSG00000141448
GATM,ENSG00000171766
GBA,ENSG00000177628
GBE1,ENSG00000114480
GBF1,ENSG00000107862
GBP1,ENSG00000117228
GBP5,ENSG00000154451
GBX2,ENSG00000168505
GCGR,ENSG00000215644
GCH1,ENSG00000131979
GCKR,ENSG00000084734
GCLM,ENSG00000023909
GCM1,ENSG00000137270
GCN1,ENSG00000089154
GCNT2,ENSG00000111846
GCNT4,ENSG00000176928
GDA,ENSG00000119125
GDF11,ENSG00000135414
GDF15,ENSG00000130513
GDF2,ENSG00000263761
GDF3,ENSG00000184344
GDF5,ENSG00000125965
GDF6,ENSG00000156466
GDF7,ENSG00000143869
GDF9,ENSG00000164404
GDNF,ENSG00000168621
GFPT1,ENSG00000198380
GGT1,ENSG00000286070
GH1,ENSG00000259384
GHITM,ENSG00000165678
GHR,ENSG00000112964
GHSR,ENSG00000121853
GIGYF1,ENSG00000146830
GIMAP4,ENSG00000133574
GIMAP5,ENSG00000196329
GIMAP8,ENSG00000171115
GIPC1,ENSG00000123159
GIPC2,ENSG00000137960
GJA1,ENSG00000152661
GJA5,ENSG00000265107
GJB1,ENSG00000169562
GJB6,ENSG00000121742
GJC1,ENSG00000182963
GKN1,ENSG00000169605
GLA,ENSG00000102393
GLB1,ENSG00000170266
GLCCI1,ENSG00000106415
GLDN,ENSG00000186417
GLI1,ENSG00000111087
GLI2,ENSG00000074047
GLI3,ENSG00000106571
GLIPR2,ENSG00000122694
GLIS3,ENSG00000107249
GLOD4,ENSG00000167699
GLP1R,ENSG00000112164
GLRA1,ENSG00000145888
GLRA2,ENSG00000101958
GLRA3,ENSG00000145451
GLRB,ENSG00000109738
GLS,ENSG00000115419
GLS2,ENSG00000135423
GLT8D2,ENSG00000120820
GLUD1,ENSG00000148672
GLYR1,ENSG00000140632
GMDS,ENSG00000112699
GMEB1,ENSG00000162419
GMEB2,ENSG00000101216
GMFB,ENSG00000197045
GMPS,ENSG00000163655
GNA11,ENSG00000088256
GNAI1,ENSG00000127955
GNAI2,ENSG00000114353
GNAO1,ENSG00000087258
GNAQ,ENSG00000156052
GNAT3,ENSG00000214415
GNB1L,ENSG00000185838
GNB3,ENSG00000111664
GNG11,ENSG00000127920
GNL2,ENSG00000134697
GNPAT,ENSG00000116906
GNRH1,ENSG00000147437
GNRHR,ENSG00000109163
GNS,ENSG00000135677
GOLGA2,ENSG00000167110
GOLPH3,ENSG00000113384
GORAB,ENSG00000120370
GOT1,ENSG00000120053
GP1BA,ENSG00000185245
GP5,ENSG00000178732
GP6,ENSG00000088053
GPATCH11,ENSG00000152133
GPBP1,ENSG00000062194
GPBP1L1,ENSG00000159592
GPER1,ENSG00000164850
GPHN,ENSG00000171723
GPN1,ENSG00000198522
GPN2,ENSG00000142751
GPR1,ENSG00000183671
GPR101,ENSG00000165370
GPR12,ENSG00000132975
GPR135,ENSG00000181619
GPR137,ENSG00000173264
GPR139,ENSG00000180269
GPR149,ENSG00000174948
GPR158,ENSG00000151025
GPR162,ENSG00000250510
GPR17,ENSG00000144230
GPR174,ENSG00000147138
GPR22,ENSG00000172209
GPR26,ENSG00000154478
GPR3,ENSG00000181773
GPR34,ENSG00000171659
GPR37,ENSG00000170775
GPR37L1,ENSG00000170075
GPR39,ENSG00000183840
GPR4,ENSG00000177464
GPR55,ENSG00000135898
GPR63,ENSG00000112218
GPR83,ENSG00000123901
GPR85,ENSG00000164604
GPR88,ENSG00000181656
GPRASP1,ENSG00000198932
GPRASP2,ENSG00000158301
GPRC5B,ENSG00000167191
GPRC5C,ENSG00000170412
GPRIN2,ENSG00000204175
GPT,ENSG00000167701
GPX3,ENSG00000211445
GRAMD1A,ENSG00000089351
GRAMD2B,ENSG00000155324
GRB2,ENSG00000177885
GREB1L,ENSG00000141449
GREM1,ENSG00000166923
GREM2,ENSG00000180875
GRHL2,ENSG00000083307
GRIA1,ENSG00000155511
GRIA2,ENSG00000120251
GRID1,ENSG00000182771
GRIK3,ENSG00000163873
GRIK4,ENSG00000149403
GRIK5,ENSG00000105737
GRIN1,ENSG00000176884
GRIN2B,ENSG00000273079
GRIN2C,ENSG00000161509
GRIN2D,ENSG00000105464
GRK2,ENSG00000173020
GRK5,ENSG00000198873
GRM1,ENSG00000152822
GRM2,ENSG00000164082
GRM3,ENSG00000198822
GRM4,ENSG00000124493
GRM5,ENSG00000168959
GRM7,ENSG00000196277
GRN,ENSG00000030582
GRP,ENSG00000134443
GRPR,ENSG00000126010
GRWD1,ENSG00000105447
GSDMB,ENSG00000073605
GSDMC,ENSG00000147697
GSE1,ENSG00000131149
GSK3A,ENSG00000105723
GSK3B,ENSG00000082701
GSR,ENSG00000104687
GSS,ENSG00000100983
GSTM1,ENSG00000134184
GSTM3,ENSG00000134202
GSTO1,ENSG00000148834
GSTZ1,ENSG00000100577
GSX2,ENSG00000180613
GTF2A1L,ENSG00000242441
GTF2I,ENSG00000263001
GTF3C1,ENSG00000077235
